"Test Code","Local Test Name","Audit Result","Bag Temperature","Quest Transport Temperature","Special Labeling","Source"
"70048","Chlamydia trachomatis RNA, TMA, Throat","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"70049","Neisseria gonorrhoeae RNA, TMA, Throat","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"90071","Rheumatoid Arthritis Panel 1 (RF and anti-CCP) plus ANA","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"90271","von Willebrand Screen","Verified current MASTER record","Frozen","Frozen","","Quest MASTER directory verified 2026-09-02"
"90349","Syphilis Antibody Cascading Reflex","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"90367","Leptin","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"90559","Very Long Chain Fatty Acids","Verified current MASTER record","Frozen","Frozen","","Quest MASTER directory verified 2026-09-02"
"90567","DHT - dihydrotestosterone","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"90567","Dihydrotestosterone","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"90963","T3 reverse","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"91001","Omega-3 and -6 Fatty Acids","MASTER record unavailable; verify active code/service area","Not specified","Current Quest MASTER record unavailable; verify active code and local service-area instructions","","Quest MASTER directory unavailable 2026-09-02"
"91003","Methylmalonic Acid and Homocysteine","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"91431","HIV-1/2 Antigen and Antibodies, Fourth Generation, with Reflexes","Verified current MASTER record","Room Temperature","Room temperature","Patient identifier; submit only for HIV testing. If plasma is submitted, label it PLASMA.","Quest MASTER directory verified 2026-09-02"
"91726","Cardio IQ® Apolipoprotein B","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"91729","Cardio IQ Lipoprotein a","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"91731","CardioIQ Insulin","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"91732","CardioIQ Hemoglobin A1c","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"91735","Cardio IQ® Vitamin D, 25-Hydroxy","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"91737","CardioIQ HS CRP","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"91863","BRCA Panel (BRCA1 and BRCA2)","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"92145","Advanced Lipid Panel CardioIQ","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"92170","Allergy Mold Panel, Complete","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"92701","OmegaCheck®","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"92739","Albumin/Creatinine Ratio, Timed Urine","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"92769","Oxidized LDL (OxLDL)","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"92788","Maternal Serum AFP (NY)","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"92888","Vit D25-OH, D2, D3","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"93192","Dengue Fever Antibodies (IgG, IgM) and NS1 Antigen Panel","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"94154","TMAO (Trimethylamine N-Oxide)","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"94267","Lp-PLA2 Activity","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"94322","Tick-borne Disease, Acute Molecular Panel","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"94588","Cystatin C with Glomerular Filtration Rate, Estimated (eGFR)","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"94612","Copper-Free, Serum/Plasma","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"95856","Candida Immune Complex","Verified current MASTER record","Frozen","Frozen","","Quest MASTER directory verified 2026-09-02"
"XXX","24 Hour urine collections","Local blocked placeholder; no Quest code","Not specified","XXX","","Lab Collection Calculator spreadsheet"
"XXX","ADMA/SDMA","Local blocked placeholder; no Quest code","Not specified","XXX","","Lab Collection Calculator spreadsheet"
"XXX","Ammonia","Local blocked placeholder; no Quest code","Not specified","XXX","","Lab Collection Calculator spreadsheet"
"XXX","DHEA, unconjugated","Local blocked placeholder; no Quest code","Not specified","XXX","","Lab Collection Calculator spreadsheet"
"XXX","Glucose-6-Phosphate Dehydrogenase, Quantitative","Local blocked placeholder; no Quest code","Not specified","XXX","","Lab Collection Calculator spreadsheet"
"XXX","Hypercoagulability Profile","Local blocked placeholder; no Quest code","Not specified","XXX","","Lab Collection Calculator spreadsheet"
"XXX","PTH and calcium","Local blocked placeholder; no Quest code","Not specified","XXX","","Lab Collection Calculator spreadsheet"
"XXX","Pregnenolone","Local blocked placeholder; no Quest code","Not specified","XXX","","Lab Collection Calculator spreadsheet"
"XXX","Pregnenolone","Local blocked placeholder; no Quest code","Not specified","XXX","","Lab Collection Calculator spreadsheet"
"XXX","Renin and Aldosterone Serum","Local blocked placeholder; no Quest code","Not specified","XXX","","Lab Collection Calculator spreadsheet"
"XXX","Typtase","Local blocked placeholder; no Quest code","Not specified","XXX","","Lab Collection Calculator spreadsheet"
"XXX","Urine Metanephrines","Local blocked placeholder; no Quest code","Not specified","XXX","","Lab Collection Calculator spreadsheet"
"XXX","Vitamin B6","Local blocked placeholder; no Quest code","Not specified","XXX","","Lab Collection Calculator spreadsheet"
"XXX","Vitamin C","Local blocked placeholder; no Quest code","Not specified","XXX","","Lab Collection Calculator spreadsheet"
"XXX","Vitamin E","Local blocked placeholder; no Quest code","Not specified","XXX","","Lab Collection Calculator spreadsheet"
"XXX","lntrinsic Factor Blocking Antibody","Local blocked placeholder; no Quest code","Not specified","XXX","","Lab Collection Calculator spreadsheet"
"16963","Streptococcus pneumoniae Antibody (IgG) (23 Serotypes), MAID","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"35135","Haemophilus influenzae Type b Antibody (IgG)","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"34042","Diphtheria and Tetanus Antitoxoids","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
